% cuentas de las 14 cadenas alpha mas muestreadas
% GAUGE: orbitales RHF adaptados por simetria (Dooh), OMP_NUM_THREADS=1.
%   ESTAS CUENTAS SE MUEVEN CON EL GAUGE -- son cuentas de cadenas, que es
%   la cantidad de la que trata la seccion 2.1. Las ocupaciones de wf_occ.dat
%   no: son del 1-RDM y son invariantes dentro de una capa degenerada.
% muestreo Born de |c_alpha|^2 sobre 792 cadenas, 3000 disparos, semilla 0
% generado por gen_fig1.py ; N2 R=2.0A cc-pVDZ CAS(10e,12o)
rank count
0 1084
1 425
2 417
3 191
4 135
5 134
6 107
7 67
8 66
9 59
10 38
11 38
12 36
13 35
